"","ENTREZID","SYMBOL"
"417","224794","Enpp4"
"418","76722","Ckmt2"
"419","213109","Phf3"
"420","78833","Gins3"
"421","21881","Tkt"
"422","79233","Zfp319"
"423","225392","Rell2"
"424","216820","Dhrs7b"
"425","319527","B230325K18Rik"
"426","66074","Tmem167"
"427","17082","Il1rl1"
"428","18181","Nrf1"
"429","20364","Selenow"
"430","223665","C030006K11Rik"
"431","21945","Dedd"
"432","77820","A930028O11Rik"
"433","20227","Sart1"
"434","171211","Edaradd"
"435","270110","Irf2bp2"
"436","16558","Kif16b"
"437","71609","Tradd"
"438","70676","Gulp1"
"439","12649","Chek1"
"440","83995","Mmp1a"
"441","74041","Ddias"
"442","72085","Osgepl1"
"443","330998","Ankrd34c"
"444","242083","Ppm1l"
"445","338370","Nalcn"
"446","77558","9330179D12Rik"
"447","271970","Arsj"
"448","71870","Cfap45"
"449","26877","B3galt1"
"450","22110","Tspyl1"
"451","238123","Cog5"
"452","383348","Kctd16"
"453","381217","Entrep1"
"454","94217","Lrp1b"
"455","15874","Iapp"
"456","211586","Tfdp2"
"457","320487","Heatr5a"
"458","225884","Gstp3"
"459","19691","Recql"
"460","18163","Ctnnd2"
"461","442827","Rab44"
"462","69090","Ascc1"
"463","13211","Dhx9"
"464","71562","Afmid"
"465","93960","Nkd1"
"466","74205","Acsl3"
"467","237353","Sh3rf3"
"468","13972","Gnb1l"
"469","19075","Prim1"
"470","13592","Ebf2"
"471","214895","Lman2l"
"472","170460","Stard5"
"473","76516","2010001A14Rik"
"474","75007","Mindy1"
"475","108811","Ccdc122"
"476","75859","4930568D16Rik"
"477","78803","Fbxo43"
"478","69352","Necab1"
"479","17448","Mdh2"
"480","97362","C77798"
"481","243084","Tmprss11e"
"482","67579","Cpeb4"
"483","84652","Hycc1"
"484","13723","Emb"
"485","21665","Tdg"
"486","67673","Elob"
"487","22791","Dnajc2"
"488","66910","Tmem107"
"489","19300","Abcd4"
"490","22083","Ctr9"
"491","71424","5430430B14Rik"
"492","18032","Nfix"
"493","18379","Omt2a"
"494","24017","Rnf13"
"495","269702","Mphosph9"
"496","68272","Rbm28"
"497","68904","Abhd13"
"498","72439","2610007B07Rik"
"499","11840","Arf1"
"500","56774","Slc6a14"
"501","83553","Tktl1"
"502","113855","Vmn1r40"
"503","19655","Rbmx"
"504","27426","Nagpa"
"505","71576","Tmem238l"
"506","70266","Kyat1"
"507","54402","Stk19"
"508","77031","Slc9a8"
"509","102240","AU022882"
"510","66190","Acer3"
"511","19822","Rnf4"
"512","77053","Sun1"
"513","233908","Fus"
"514","70511","Eef2kmt"
"515","67525","Trim62"
"516","109145","Gins4"
"517","77877","6030458C11Rik"
"518","217682","Plekhd1"
"519","72726","Tbcc"
"520","106839","AA407331"
"521","14758","Gpm6b"
"522","69537","Dnase1l1"
"523","14573","Gdnf"
"524","77795","A930010G16Rik"
"525","18570","Pdcd6"
"526","18624","Pepd"
"527","16451","Jak1"
"528","108672","Zdhhc15"
"529","22174","Tyro3"
"530","66602","Oip5os1"
"531","217517","Stxbp6"
"532","75166","4930533B01Rik"
"533","97455","C78859"
"534","432536","Pom121l12"
"535","23912","Rhof"
"536","16410","Itgav"
"537","207704","Gtpbp10"
"538","16568","Kif3a"
"539","67933","Hcfc2"
"540","226265","Eno4"
"541","71721","Fam13c"
"542","17978","Ncoa2"
"543","230809","Pdik1l"
"544","102402","AA414992"
"545","237716","Gpr75"
"546","15192","Hdgfl1"
"547","96955","C77144"
"548","22381","Tceal9"
"549","407814","Timd6"
"550","70579","Zc3h11a"
"551","18571","Pdcd6ip"
"552","245386","Tmem255a"
"553","276852","Mtnap1"
"554","71919","Rpap3"
"555","76251","Ercc6l2"
"556","226548","Aph1a"
"557","320253","Marchf3"
"558","207181","Rbms3"
"559","15312","Hmgn1"
"560","76499","Clasp2"
"561","116870","Mta1"
"562","94094","Trim34a"
"563","26404","Map3k12"
"564","228775","Trib3"
"565","71331","5430411C19Rik"
"566","13526","Adam24"
"567","93739","Gabarapl2"
"568","217316","Slc16a5"
"569","74558","Gvin1"
"570","54418","Fmn2"
"571","18015","Nf1"
"572","100832","AU022537"
"573","225187","Ankrd29"
"574","76044","Ncapg2"
"575","18634","Pex7"
"576","93721","Cpn1"
"577","11576","Afp"
"578","207304","Hectd1"
"579","11480","Acvr2a"
"580","67273","Ndufa10"
"581","26894","Cops7a"
"582","69370","1700017L05Rik"
"583","78751","Zc3h6"
"584","67477","Abhd15"
"585","54644","Otud5"
"586","11980","Atp8a1"
"587","66229","Rpl7l1"
"588","77300","Raph1"
"589","272350","Lgalsl2"
"590","66090","Ypel3"
"591","67369","Qpctl"
"592","225845","Plaat3"
"593","215015","Fam20b"
"594","50915","Grb14"
"595","76195","6330590E21Rik"
"596","66513","Tab1"
"597","106267","AI844685"
"598","19358","Rad23a"
"599","75983","5033423K11Rik"
"600","271842","Rpusd2"
"601","66752","4933404O12Rik"
"602","235559","Topbp1"
"603","16190","Il4ra"
"604","78277","5330428N10Rik"
"605","12217","Bsn"
"606","77721","Mrps5"
"607","22644","Rnf103"
"608","11910","Atf3"
"609","73673","Rec114"
"610","414073","BC040756"
"611","73825","Ppp1r21"
"612","52498","D15Ertd180e"
"613","18439","P2rx7"
"614","17957","Napb"
"615","116871","Mta3"
"616","13522","Adam28"
"617","27643","Ubl4a"
"618","108937","Rnf169"
"619","56325","Abcb9"
"620","66468","Ska1"
"621","22341","Vegfc"
"622","76108","Rap2a"
"623","67072","Cdc37l1"
"624","73040","2900052N01Rik"
"625","109331","Rnf20"
"626","14560","Gdf10"
"627","269774","Aak1"
"628","22722","Zfp64"
"629","243616","Slc6a11"
"630","17257","Mecp2"
"631","70441","Mir124-2hg"
"632","319188","H2bc22"
"633","171567","Nme7"
"634","17830","Prol1"
"635","233057","Zfp940"
"636","20348","Sema3c"
"637","26442","Psma5"
"638","14302","Frk"
"639","18232","Nxph2"
"640","19305","Pex5"
"641","78832","Cacul1"
"642","17425","Foxk1"
"643","68725","1110032F04Rik"
"644","14426","Galnt4"
"645","54375","Azin1"
"646","227154","Stradb"
"647","69714","Tfpt"
"648","77827","Krba1"
"649","320808","Dcaf5"
"650","69276","Sec62"
"651","29817","Igfbp7"
"652","319880","Tmcc3"
"653","28019","Ing4"
"654","67117","Dynlt3"
"655","233099","Scgb2b27"
"656","110876","Scn2a"
"657","14309","Fshr"
"658","78390","Pla2g4d"
"659","13855","Epn2"
"660","54351","Elp5"
"661","26893","Cops6"
"662","26874","Abcd2"
"663","16646","Kpna1"
"664","67197","Zcrb1"
"665","29871","Scmh1"
"666","19765","Ralbp1"
"667","14688","Gnb1"
"668","58233","Dnaja4"
"669","231871","Daglb"
"670","171283","Havcr1"
"671","52850","Sgsm1"
"672","72399","Brap"
"673","68922","Dnai1"
"674","17220","Mcm7"
"675","70909","4921504E06Rik"
"676","57439","Tmem183a"
"677","12846","Comt"
"678","16478","Jund"
"679","52837","Tmx4"
"680","20203","S100b"
"681","77072","6720420G18Rik"
"682","59287","Ncstn"
"683","258186","Or1e36-ps1"
"684","12817","Col13a1"
"685","66296","Haus2"
"686","319339","C130063H03Rik"
"687","56376","Pdlim5"
"688","56790","Supt20"
"689","116707477","Ipo11-lrrc70"
"690","20495","Slc12a1"
"691","18754","Prkce"
"692","16564","Kif21a"
"693","74387","Epcip"
"694","15531","Ndst1"
"695","235041","Kank2"
"696","23806","Arih1"
"697","673094","Cd99"
"698","71246","4933437I04Rik"
"699","74591","Abca12"
"700","668253","Dleu2"
"701","73182","Pear1"
"702","109242","Kif24"
"703","52348","Vps37a"
